date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/13/19,AAPL,5/10/19,202.5,Call,4.7,4.85,0.2895,0.4316,0.0253,-0.1195,0.2156,0.0576
4/13/19,AAPL,5/10/19,202.5,Put,8.4,8.6,0.2848,-0.5852,0.0251,-0.1009,0.2156,-0.0882
4/13/19,AAPL,5/31/19,185,Call,16.55,16.75,0.2801,0.7822,0.0152,-0.0738,0.2148,0.1518
4/13/19,AAPL,5/31/19,185,Put,2.7,2.76,0.2765,-0.2242,0.015,-0.0585,0.2213,-0.0568
4/13/19,AAPL,5/31/19,190,Call,12.8,12.95,0.2698,0.7001,0.0184,-0.0808,0.2496,0.1471
4/13/19,AAPL,5/31/19,190,Put,3.95,4.1,0.2685,-0.3067,0.0182,-0.066,0.2526,-0.0764
4/13/19,AAPL,5/31/19,195,Call,9.55,9.7,0.2629,0.602,0.0207,-0.0846,0.2803,0.1351
4/13/19,AAPL,5/31/19,195,Put,5.7,5.85,0.261,-0.404,0.0207,-0.0699,0.2819,-0.098
4/13/19,AAPL,5/31/19,200,Call,6.8,6.9,0.2553,0.4952,0.0219,-0.0831,0.2906,0.117
4/13/19,AAPL,5/31/19,200,Put,8,8.2,0.2564,-0.5109,0.0218,-0.0695,0.29,-0.1198
4/13/19,AAPL,5/31/19,202.5,Call,5.65,5.75,0.2524,0.4407,0.0218,-0.0804,0.2854,0.1062
4/13/19,AAPL,5/31/19,202.5,Put,9.35,9.5,0.2523,-0.5657,0.0219,-0.0666,0.2846,-0.1303
4/20/19,AAPL,5/3/19,190,Call,15,15.3,0.3445,0.8551,0.016,-0.1192,0.0941,0.0654
4/20/19,AAPL,5/3/19,190,Put,1.05,1.18,0.3468,-0.1464,0.016,-0.1075,0.0948,-0.0127
4/20/19,AAPL,5/3/19,195,Call,11,11.2,0.3354,0.759,0.0225,-0.1539,0.1287,0.059
4/20/19,AAPL,5/3/19,195,Put,2.02,2.1,0.3365,-0.2421,0.0226,-0.142,0.1293,-0.0193
4/20/19,AAPL,5/3/19,200,Call,7.55,7.7,0.3278,0.6318,0.0278,-0.1787,0.1557,0.0498
4/20/19,AAPL,5/3/19,200,Put,3.5,3.65,0.3282,-0.3692,0.028,-0.1664,0.1576,-0.0287
4/20/19,AAPL,5/3/19,205,Call,4.75,4.9,0.3195,0.4849,0.0302,-0.182,0.1647,0.0386
4/20/19,AAPL,5/3/19,205,Put,5.7,5.85,0.3198,-0.5167,0.0305,-0.1697,0.1652,-0.0387
4/20/19,AAPL,5/17/19,185,Call,20,20.2,0.3178,0.8826,0.0116,-0.0775,0.111,0.0927
4/20/19,AAPL,5/17/19,185,Put,1.12,1.15,0.3063,-0.1252,0.0118,-0.0608,0.1223,-0.0196
